#name,address,city,state,zip,mobilePhone,businessPhone,notes
"HomePro Builders Supply","1020 Industrial Way","Seattle","WA","98108","555-4102","555-8841","Primary contractor supply partner"
"BuildRight Depot","4550 Pacific Hwy","Tacoma","WA","98421","555-3381","555-9022","Bulk lumber and tools"
"Contractor’s Choice Supply","7800 Harbor Ave","Everett","WA","98201","555-7320","555-6654","Preferred vendor for framing materials"
"ProGrade Home Center","150 Market St","Portland","OR","97209","555-4490","555-1189","General building materials"
"Builder’s Bulk Warehouse","600 River Rd","Salem","OR","97301","555-2398","555-9011","High-volume orders available"
"National Home Supply","890 Commerce Blvd","Boise","ID","83704","555-7711","555-4412","Nationwide hardware supplier"
"Timberline Hardware","120 Cedar St","Eugene","OR","97401","555-1123","555-6730","Hardware and fasteners"
"Cornerstone Hardware","44 Oakridge Dr","Spokane","WA","99202","555-4509","555-7714","Contractor discount program"
"Red Oak Hardware & Tools","312 Forest Ln","Bend","OR","97701","555-6399","555-8455","Outdoor and construction tools"
"SwiftFix Hardware","208 Main St","Yakima","WA","98902","555-9030","555-2044","Fast-order pickup available"
"Northwest Plumbing Supply","1430 Pipeway Dr","Seattle","WA","98134","555-2201","555-7305","Commercial plumbing materials"
"FlowMaster Pipe & Fittings","2200 Flow Rd","Portland","OR","97217","555-3320","555-4055","Bulk pipe inventory"
"Cascade Plumbing & Fixtures","5900 Riverside Ave","Boise","ID","83705","555-4011","555-2994","Bathroom and kitchen fixtures"
"VoltEdge Electrical Supply","720 Circuit Blvd","Tacoma","WA","98404","555-8662","555-9864","Electrical components and wiring"
"BrightWire Electric Supply","1400 Beacon St","Salem","OR","97304","555-1777","555-8991","Preferred electrical distributor"
"TimberWorks Mill & Lumber","5100 Timber Ave","Spokane","WA","99201","555-5721","555-3409","Rough-cut and finished lumber"
"Cedar Ridge Lumber","210 Mill Rd","Eugene","OR","97402","555-9903","555-2245","Specialty cedar and fir"
"Concrete Pro Materials","300 Stoneway Dr","Boise","ID","83703","555-7750","555-6304","Concrete mix and rebar supplies"
"Apex Roofing & Fasteners","885 Summit Hwy","Portland","OR","97201","555-1184","555-5707","Roofing shingles and hardware"
"ProGlass Window & Door Supply","470 Glassworks Blvd","Seattle","WA","98126","555-7010","555-2480","Custom windows and doors"
