#name,address,city,state,zip,mobilePhone,businessPhone,notes
"Bob's Painting","144 Maple St","Seattle","WA","98103","555-1120","555-4499","Interior and exterior painting"
"Stephen's Concrete","220 Riverside Ave","Tacoma","WA","98405","555-7721","555-3309","Driveways, patios, and foundations"
"All American Roofing","780 Hilltop Rd","Portland","OR","97210","555-5400","555-8822","Licensed roofing contractor"
"Sam's Plumbing","55 Harbor Ln","Everett","WA","98203","555-6633","555-2701","Emergency plumbing services"
"Northwest HVAC Services","900 Industrial Way","Salem","OR","97302","555-3324","555-9980","Heating and cooling installations"
"Evergreen Electrical","204 Pine Ridge Dr","Spokane","WA","99206","555-4508","555-4470","Residential electrical repairs"
"Precision Flooring Co.","313 Valley Rd","Boise","ID","83709","555-9201","555-3105","Laminate, hardwood, tile"
"Mountain View Landscaping","18 Greenway Ct","Eugene","OR","97405","555-1881","555-9002","Full-service landscaping"
"ProLine Drywall","700 Mason St","Bellevue","WA","98004","555-2150","555-4403","Drywall hanging and finishing"
"Tim's Tile & Stone","41 Ridgecrest Ave","Yakima","WA","98901","555-8472","555-6931","Kitchens, bathrooms, custom tile"
"Rapid Rooter Plumbing","600 Elmwood Dr","Tacoma","WA","98409","555-7780","555-3400","Drain cleaning specialist"
"Skyline Window Installers","2440 Beacon Ave","Seattle","WA","98112","555-3211","555-8404","Energy-efficient windows"
"Prime Electrical Services","905 Circuit Dr","Portland","OR","97215","555-6034","555-7779","Panel upgrades and rewiring"
"Frontier Concrete Works","112 Canyon Rd","Boise","ID","83704","555-4129","555-5507","Stamped and structural concrete"
"Affordable Roofing & Gutters","86 Meadow St","Spokane","WA","99202","555-8674","555-3301","Roof repair & gutter installs"
"Superior Painting & Coatings","190 Seaview Rd","Vancouver","WA","98660","555-9908","555-2212","Commercial coatings available"
"Quality Carpentry Pros","302 Timber Ln","Eugene","OR","97401","555-7019","555-8884","Framing, trim, custom woodwork"
"Reliable HVAC Repair","4800 Canyon View Dr","Salem","OR","97306","555-6040","555-9440","24/7 heating & cooling service"
"Everest Masonry","149 Boulder Rd","Spokane","WA","99205","555-2717","555-8133","Brick, block, stone masonry work"
"GreenLeaf Irrigation","77 Orchard Way","Bend","OR","97701","555-5510","555-7708","Sprinkler installs & seasonal maintenance"
"All Pro Flooring Solutions","233 Lakeview Dr","Boise","ID","83702","555-3345","555-9988","Carpet, vinyl, hardwood flooring"
